ProjectName,ProjectKey,ProjectID,upStreamItemID,upStreamItemName,upStreamItemStatusName,upStreamItemTypeID,upStreamItemTypeName,upStreamItemCompletedOrNot,upStreamItemLevelName,upStreamItemItemRelease,upStreamReleaseName,upStreamItemTags,upStreamItemTestCaseStatus,upStreamItemPriorityCode,upStreamItemPriorityName,upStreamItemJiraStatus,upStreamItemCreateDate,upStreamItemCreatedByName,upStreamItemCreatedByID,upStreamItemModifiedDate,upStreamItemModifiedByName,upStreamItemModifiedByID,upStreamItemDescription,GroupName,ItemID,ItemName,StatusName,ItemTypeID,ItemTypeName,CompletedOrNot,LevelName,ItemRelease,ItemReleaseName,Tags,JiraStatus,TestCaseStatus,PriorityCode,PriorityName,createdDate,CreatedByName,CreatedByID,ModifiedDate,ModifiedByName,ModifiedByID,ItemDescription,downStreamItemID,downStreamItemName,downStreamStatusName,downStreamItemTypeID,downStreamItemTypeName,downStreamCompletedOrNot,downStreamLevelName,downStreamItemRelease,downStreamItemReleaseName,downStreamItemTags,downStreamItemTestCaseStatus,downStreamItemPriorityCode,downStreamItemPriorityName,downStreamItemJiraStatus,downStreamItemCreateDate,downStreamItemCreatedByName,downStreamItemCreatedByID,downStreamItemModifiedDate,downStreamItemModifiedByName,downStreamItemModifiedByID,downStreamItemDescription
Landscaping - MaaS,LMAAS,155,,,,,,,,,,,,,,,,,,,,,,TestCases,5109523,7.7 - Mandatory,Approved,210,System Verification Test Case,Completed,Update LevelName Calculation rule,,,,,NOT_SCHEDULED,,,2025-10-22 19:54:27,Dallon Schofield,130,2025-10-22 19:54:27,Dallon Schofield,130,,,,,,,,,,,,,,,,,,,,,,
Landscaping - MaaS,LMAAS,155,,,,,,,,,,,,,,,,,,,,,,TestCases,5109524,7.7 - Required,Approved,210,System Verification Test Case,Completed,Update LevelName Calculation rule,,,,,NOT_SCHEDULED,,,2025-10-22 19:54:27,Dallon Schofield,130,2025-10-22 19:54:27,Dallon Schofield,130,,,,,,,,,,,,,,,,,,,,,,
Landscaping - MaaS,LMAAS,155,,,,,,,,,,,,,,,,,,,,,,TestCases,5109525,7.7 - Highly Recommended,Approved,210,System Verification Test Case,Completed,Update LevelName Calculation rule,,,,,NOT_SCHEDULED,,,2025-10-22 19:54:27,Dallon Schofield,130,2025-10-22 19:54:27,Dallon Schofield,130,,,,,,,,,,,,,,,,,,,,,,
Landscaping - MaaS,LMAAS,155,,,,,,,,,,,,,,,,,,,,,,TestCases,5109526,7.7 - Recommended,Approved,210,System Verification Test Case,Completed,Update LevelName Calculation rule,,,,,NOT_SCHEDULED,,,2025-10-22 19:54:27,Dallon Schofield,130,2025-10-22 19:54:27,Dallon Schofield,130,,,,,,,,,,,,,,,,,,,,,,
Landscaping - MaaS,LMAAS,155,,,,,,,,,,,,,,,,,,,,,,TestCases,5109529,8.1 - Mandatory,Approved,210,System Verification Test Case,Completed,Update LevelName Calculation rule,,,,,NOT_SCHEDULED,,,2025-10-22 19:54:27,Dallon Schofield,130,2025-10-22 19:54:27,Dallon Schofield,130,,,,,,,,,,,,,,,,,,,,,,
Landscaping - MaaS,LMAAS,155,,,,,,,,,,,,,,,,,,,,,,TestCases,5109530,8.1 - Required,Approved,210,System Verification Test Case,Completed,Update LevelName Calculation rule,,,,,NOT_SCHEDULED,,,2025-10-22 19:54:27,Dallon Schofield,130,2025-10-22 19:54:27,Dallon Schofield,130,,,,,,,,,,,,,,,,,,,,,,
Landscaping - MaaS,LMAAS,155,,,,,,,,,,,,,,,,,,,,,,TestCases,5109531,8.1 - Highly Recommended,Approved,210,System Verification Test Case,Completed,Update LevelName Calculation rule,,,,,NOT_SCHEDULED,,,2025-10-22 19:54:27,Dallon Schofield,130,2025-10-22 19:54:27,Dallon Schofield,130,,,,,,,,,,,,,,,,,,,,,,
Landscaping - MaaS,LMAAS,155,,,,,,,,,,,,,,,,,,,,,,TestCases,5109532,8.1 - Recommended,Approved,210,System Verification Test Case,Completed,Update LevelName Calculation rule,,,,,NOT_SCHEDULED,,,2025-10-22 19:54:27,Dallon Schofield,130,2025-10-22 19:54:27,Dallon Schofield,130,,,,,,,,,,,,,,,,,,,,,,
Landscaping - MaaS,LMAAS,155,,,,,,,,,,,,,,,,,,,,,,TestCases,5109534,8.2 - Mandatory,Approved,210,System Verification Test Case,Completed,Update LevelName Calculation rule,,,,,NOT_SCHEDULED,,,2025-10-22 19:54:28,Dallon Schofield,130,2025-10-22 19:54:28,Dallon Schofield,130,,,,,,,,,,,,,,,,,,,,,,
Landscaping - MaaS,LMAAS,155,,,,,,,,,,,,,,,,,,,,,,TestCases,5109535,8.2 - Required,Approved,210,System Verification Test Case,Completed,Update LevelName Calculation rule,,,,,NOT_SCHEDULED,,,2025-10-22 19:54:28,Dallon Schofield,130,2025-10-22 19:54:28,Dallon Schofield,130,,,,,,,,,,,,,,,,,,,,,,
